game_pk,at_bat_number,pitch_number,season,game_type,official_date,level,has_abs_challenges,inning,inning_topbot,balls,strikes,outs_when_up,batter,pitcher,fielder_2,stand,p_throws,pitch_type,release_speed,plate_x,plate_z,sz_top,sz_bot,description,play_id,delta_run_exp,challenged,review_level,challenge_team_id,challenger_id,challenger_role,tokens_remaining_before,call_original,call_final,is_overturned
700077,3,6,2022,R,2022-05-10,mlb,false,3,Bot,3,2,2,600011,500011,450011,R,R,FC,89.1,0.2,1.95,3.42,1.54,swinging_strike,00000011-0000-4000-8000-000000000011,-0.09,false,,,,,,,,
700084,4,1,2022,R,2022-05-11,mlb,false,4,Top,0,0,0,600012,500012,450012,L,R,FF,89.2,0.3,2.0,3.45,1.56,called_strike,00000012-0000-4000-8000-000000000012,-0.08,false,,,,,,,,
700091,5,2,2022,R,2022-05-12,mlb,false,5,Bot,1,1,1,600013,500013,450013,R,R,SL,89.3,0.4,2.05,3.48,1.58,ball,00000013-0000-4000-8000-000000000013,-0.07,false,,,,,,,,
700098,6,3,2022,R,2022-05-13,mlb,false,6,Top,2,2,2,600014,500014,450014,R,R,CH,89.4,0.5,2.1,3.3,1.6,blocked_ball,00000014-0000-4000-8000-000000000014,-0.06,false,,,,,,,,
700105,7,4,2022,R,2022-05-14,mlb,false,7,Bot,3,0,0,600015,500015,450015,L,L,CU,89.5,0.6,2.15,3.33,1.52,foul,00000015-0000-4000-8000-000000000015,-0.05,false,,,,,,,,
700112,8,5,2022,R,2022-05-15,mlb,false,8,Top,0,1,1,600016,500016,450016,R,R,SI,89.6,0.7,2.2,3.36,1.54,hit_into_play,00000016-0000-4000-8000-000000000016,-0.04,false,,,,,,,,
700119,9,6,2022,R,2022-05-16,mlb,false,9,Bot,1,2,2,600017,500017,450000,R,R,FC,89.7,0.8,2.25,3.39,1.56,swinging_strike,00000017-0000-4000-8000-000000000017,-0.03,false,,,,,,,,
700126,1,1,2022,R,2022-05-17,mlb,false,1,Top,2,0,0,600018,500018,450001,L,R,FF,89.8,0.9,2.3,3.42,1.58,called_strike,00000018-0000-4000-8000-000000000018,-0.02,false,,,,,,,,
700133,2,2,2022,R,2022-05-18,mlb,false,2,Bot,3,1,1,600019,500019,450002,R,R,SL,89.9,-0.9,2.35,3.45,1.6,ball,00000019-0000-4000-8000-000000000019,-0.01,false,,,,,,,,
700140,3,3,2022,R,2022-05-19,mlb,false,3,Top,0,2,2,600020,500020,450003,R,L,CH,90.0,-0.8,2.4,3.48,1.52,blocked_ball,00000020-0000-4000-8000-000000000020,0.0,false,,,,,,,,
700147,4,4,2022,R,2022-05-20,mlb,false,4,Bot,1,0,0,600021,500021,450004,L,R,CU,90.1,-0.7,2.45,3.3,1.54,foul,00000021-0000-4000-8000-000000000021,0.01,false,,,,,,,,
700154,5,5,2022,R,2022-05-10,mlb,false,5,Top,2,1,1,600022,500022,450005,R,R,SI,90.2,-0.6,2.5,3.33,1.56,hit_into_play,00000022-0000-4000-8000-000000000022,0.02,false,,,,,,,,
700161,6,6,2022,R,2022-05-11,mlb,false,6,Bot,3,2,2,600023,500023,450006,R,R,FC,90.3,-0.5,1.4,3.36,1.58,swinging_strike,00000023-0000-4000-8000-000000000023,0.03,false,,,,,,,,
700168,7,1,2022,R,2022-05-12,mlb,false,7,Top,0,0,0,600024,500024,450007,L,R,FF,90.4,-0.4,1.45,3.39,1.6,called_strike,00000024-0000-4000-8000-000000000024,0.04,false,,,,,,,,
700175,8,2,2022,S,2022-05-13,mlb,false,8,Bot,1,1,1,600025,500025,450008,R,L,SL,90.5,-0.3,1.5,3.42,1.52,ball,00000025-0000-4000-8000-000000000025,0.05,false,,,,,,,,
700182,9,3,2022,R,2022-05-14,mlb,false,9,Top,2,2,2,600026,500026,450009,R,R,CH,90.6,-0.2,1.55,3.45,1.54,blocked_ball,00000026-0000-4000-8000-000000000026,0.06,false,,,,,,,,
700189,1,4,2022,R,2022-05-15,mlb,false,1,Bot,3,0,0,600027,500027,450010,L,R,CU,90.7,-0.1,1.6,3.48,1.56,foul,00000027-0000-4000-8000-000000000027,0.07,false,,,,,,,,
700196,2,5,2022,R,2022-05-16,mlb,false,2,Top,0,1,1,600028,500028,450011,R,R,SI,90.8,0.0,1.65,3.3,1.58,hit_into_play,00000028-0000-4000-8000-000000000028,0.08,false,,,,,,,,
700203,3,6,2022,R,2022-05-17,mlb,false,3,Bot,1,2,2,600029,500000,450012,R,R,FC,90.9,0.1,1.7,3.33,1.6,swinging_strike,00000029-0000-4000-8000-000000000029,0.09,false,,,,,,,,
700210,4,1,2022,R,2022-05-18,mlb,false,4,Top,2,0,0,600030,500001,450013,L,L,FF,91.0,0.2,1.75,3.36,1.52,called_strike,00000030-0000-4000-8000-000000000030,0.1,false,,,,,,,,
700217,5,2,2022,D,2022-05-19,mlb,false,5,Bot,3,1,1,600031,500002,450014,R,R,SL,91.1,0.3,1.8,3.39,1.54,ball,00000031-0000-4000-8000-000000000031,0.11,false,,,,,,,,
700224,6,3,2023,R,2023-06-24,mlb,false,6,Top,0,2,2,600032,500003,450015,R,R,CH,91.2,0.4,1.85,3.42,1.56,blocked_ball,00000032-0000-4000-8000-000000000032,0.12,false,,,,,,,,
700231,7,4,2023,R,2023-06-14,mlb,false,7,Bot,1,0,0,600033,500004,450016,L,R,CU,91.3,0.5,1.9,3.45,1.58,foul,00000033-0000-4000-8000-000000000033,0.13,false,,,,,,,,
700238,8,5,2023,R,2023-06-15,mlb,false,8,Top,2,1,1,600034,500005,450000,R,R,SI,91.4,0.6,1.95,3.48,1.6,hit_into_play,00000034-0000-4000-8000-000000000034,0.14,false,,,,,,,,
700245,9,6,2023,R,2023-06-16,mlb,false,9,Bot,3,2,2,600035,500006,450001,R,L,FC,91.5,0.7,2.0,3.3,1.52,swinging_strike,00000035-0000-4000-8000-000000000035,0.15,false,,,,,,,,
700252,1,1,2023,R,2023-06-17,mlb,false,1,Top,0,0,0,600036,500007,450002,L,R,FF,91.6,0.8,2.05,3.33,1.54,called_strike,00000036-0000-4000-8000-000000000036,0.16,false,,,,,,,,
700259,2,2,2023,R,2023-06-18,mlb,false,2,Bot,1,1,1,600000,500008,450003,R,R,SL,91.7,0.9,2.1,3.36,1.56,ball,00000037-0000-4000-8000-000000000037,0.17,false,,,,,,,,
700266,3,3,2023,R,2023-06-19,mlb,false,3,Top,2,2,2,600001,500009,450004,R,R,CH,91.8,-0.9,2.15,3.39,1.58,blocked_ball,00000038-0000-4000-8000-000000000038,0.18,false,,,,,,,,
700273,4,4,2023,R,2023-06-20,mlb,false,4,Bot,3,0,0,600002,500010,450005,L,R,CU,91.9,-0.8,2.2,3.42,1.6,foul,00000039-0000-4000-8000-000000000039,0.19,false,,,,,,,,
700280,5,5,2023,R,2023-06-21,mlb,false,5,Top,0,1,1,600003,500011,450006,R,L,SI,92.0,-0.7,2.25,3.45,1.52,hit_into_play,00000040-0000-4000-8000-000000000040,0.2,false,,,,,,,,
700287,6,6,2023,R,2023-06-22,mlb,false,6,Bot,1,2,2,600004,500012,450007,R,R,FC,92.1,-0.6,2.3,3.48,1.54,swinging_strike,00000041-0000-4000-8000-000000000041,-0.2,false,,,,,,,,
700294,7,1,2023,R,2023-06-23,mlb,false,7,Top,2,0,0,600005,500013,450008,L,R,FF,92.2,-0.5,2.35,3.3,1.56,called_strike,00000042-0000-4000-8000-000000000042,-0.19,false,,,,,,,,
700301,8,2,2023,R,2023-06-24,mlb,false,8,Bot,3,1,1,600006,500014,450009,R,R,SL,92.3,-0.4,2.4,3.33,1.58,ball,00000043-0000-4000-8000-000000000043,-0.18,false,,,,,,,,
700308,9,3,2023,R,2023-06-14,mlb,false,9,Top,0,2,2,600007,500015,450010,R,R,CH,92.4,-0.3,2.45,3.36,1.6,blocked_ball,00000044-0000-4000-8000-000000000044,-0.17,false,,,,,,,,
700315,1,4,2023,R,2023-06-15,mlb,false,1,Bot,1,0,0,600008,500016,450011,L,L,CU,92.5,-0.2,2.5,3.39,1.52,foul,00000045-0000-4000-8000-000000000045,-0.16,false,,,,,,,,
700322,2,5,2023,R,2023-06-16,mlb,false,2,Top,2,1,1,600009,500017,450012,R,R,SI,92.6,-0.1,1.4,3.42,1.54,hit_into_play,00000046-0000-4000-8000-000000000046,-0.15,false,,,,,,,,
700329,3,6,2023,R,2023-06-17,mlb,false,3,Bot,3,2,2,600010,500018,450013,R,R,FC,92.7,0.0,1.45,3.45,1.56,swinging_strike,00000047-0000-4000-8000-000000000047,-0.14,false,,,,,,,,
700336,4,1,2023,R,2023-06-18,mlb,false,4,Top,0,0,0,600011,500019,450014,L,R,FF,92.8,0.1,1.5,3.48,1.58,called_strike,00000048-0000-4000-8000-000000000048,-0.13,false,,,,,,,,
700343,5,2,2023,R,2023-06-19,mlb,false,5,Bot,1,1,1,600012,500020,450015,R,R,SL,92.9,0.2,1.55,3.3,1.6,ball,00000049-0000-4000-8000-000000000049,-0.12,false,,,,,,,,
700350,6,3,2023,S,2023-06-20,mlb,false,6,Top,2,2,2,600013,500021,450016,R,L,CH,93.0,0.3,1.6,3.33,1.52,blocked_ball,00000050-0000-4000-8000-000000000050,-0.11,false,,,,,,,,
700357,7,4,2023,R,2023-06-21,mlb,false,7,Bot,3,0,0,600014,500022,450000,L,R,CU,93.1,0.4,1.65,3.36,1.54,foul,00000051-0000-4000-8000-000000000051,-0.1,false,,,,,,,,
700364,8,5,2023,R,2023-06-22,mlb,false,8,Top,0,1,1,600015,500023,450001,R,R,SI,93.2,0.5,1.7,3.39,1.56,hit_into_play,00000052-0000-4000-8000-000000000052,-0.09,false,,,,,,,,
700371,9,6,2023,R,2023-06-23,mlb,false,9,Bot,1,2,2,600016,500024,450002,R,R,FC,93.3,0.6,1.75,3.42,1.58,swinging_strike,00000053-0000-4000-8000-000000000053,-0.08,false,,,,,,,,
700378,1,1,2023,R,2023-06-24,mlb,false,1,Top,2,0,0,600017,500025,450003,L,R,FF,93.4,0.7,1.8,3.45,1.6,called_strike,00000054-0000-4000-8000-000000000054,-0.07,false,,,,,,,,
700385,2,2,2023,R,2023-06-14,mlb,false,2,Bot,3,1,1,600018,500026,450004,R,L,SL,93.5,0.8,1.85,3.48,1.52,ball,00000055-0000-4000-8000-000000000055,-0.06,false,,,,,,,,
700392,3,3,2023,R,2023-06-15,mlb,false,3,Top,0,2,2,600019,500027,450005,R,R,CH,93.6,0.9,1.9,3.3,1.54,blocked_ball,00000056-0000-4000-8000-000000000056,-0.05,false,,,,,,,,
700399,4,4,2023,R,2023-06-16,mlb,false,4,Bot,1,0,0,600020,500028,450006,L,R,CU,93.7,-0.9,1.95,3.33,1.56,foul,00000057-0000-4000-8000-000000000057,-0.04,false,,,,,,,,
700406,5,5,2023,R,2023-06-17,mlb,false,5,Top,2,1,1,600021,500000,450007,R,R,SI,93.8,-0.8,2.0,3.36,1.58,hit_into_play,00000058-0000-4000-8000-000000000058,-0.03,false,,,,,,,,
700413,6,6,2023,R,2023-06-18,mlb,false,6,Bot,3,2,2,600022,500001,450008,R,R,FC,93.9,-0.7,2.05,3.39,1.6,swinging_strike,00000059-0000-4000-8000-000000000059,-0.02,false,,,,,,,,
700420,7,1,2023,R,2023-06-19,mlb,false,7,Top,0,0,0,600023,500002,450009,L,L,FF,94.0,-0.6,2.1,3.42,1.52,called_strike,00000060-0000-4000-8000-000000000060,-0.01,false,,,,,,,,
700427,8,2,2023,R,2023-06-20,mlb,false,8,Bot,1,1,1,600024,500003,450010,R,R,SL,94.1,-0.5,2.15,3.45,1.54,ball,00000061-0000-4000-8000-000000000061,0.0,false,,,,,,,,
700434,9,3,2023,D,2023-06-21,mlb,false,9,Top,2,2,2,600025,500004,450011,R,R,CH,94.2,-0.4,2.2,3.48,1.56,blocked_ball,00000062-0000-4000-8000-000000000062,0.01,false,,,,,,,,
700441,1,4,2023,R,2023-06-22,mlb,false,1,Bot,3,0,0,600026,500005,450012,L,R,CU,94.3,-0.3,2.25,3.3,1.58,foul,00000063-0000-4000-8000-000000000063,0.02,false,,,,,,,,
700448,2,5,2024,R,2024-07-18,mlb,false,2,Top,0,1,1,600027,500006,450013,R,R,SI,94.4,-0.2,2.3,3.33,1.6,hit_into_play,00000064-0000-4000-8000-000000000064,0.03,false,,,,,,,,
700455,3,6,2024,R,2024-07-19,mlb,false,3,Bot,1,2,2,600028,500007,450014,R,L,FC,94.5,-0.1,2.35,3.36,1.52,swinging_strike,00000065-0000-4000-8000-000000000065,0.04,false,,,,,,,,
700462,4,1,2024,R,2024-07-09,mlb,false,4,Top,2,0,0,600029,500008,450015,L,R,FF,94.6,0.0,2.4,3.39,1.54,called_strike,00000066-0000-4000-8000-000000000066,0.05,false,,,,,,,,
700469,5,2,2024,R,2024-07-10,mlb,false,5,Bot,3,1,1,600030,500009,450016,R,R,SL,94.7,0.1,2.45,3.42,1.56,ball,00000067-0000-4000-8000-000000000067,0.06,false,,,,,,,,
700476,6,3,2024,R,2024-07-11,mlb,false,6,Top,0,2,2,600031,500010,450000,R,R,CH,94.8,0.2,2.5,3.45,1.58,blocked_ball,00000068-0000-4000-8000-000000000068,0.07,false,,,,,,,,
700483,7,4,2024,R,2024-07-12,mlb,false,7,Bot,1,0,0,600032,500011,450001,L,R,CU,94.9,0.3,1.4,3.48,1.6,foul,00000069-0000-4000-8000-000000000069,0.08,false,,,,,,,,
700490,8,5,2024,R,2024-07-13,mlb,false,8,Top,2,1,1,600033,500012,450002,R,L,SI,88.0,0.4,1.45,3.3,1.52,hit_into_play,00000070-0000-4000-8000-000000000070,0.09,false,,,,,,,,
700497,9,6,2024,R,2024-07-14,mlb,false,9,Bot,3,2,2,600034,500013,450003,R,R,FC,88.1,0.5,1.5,3.33,1.54,swinging_strike,00000071-0000-4000-8000-000000000071,0.1,false,,,,,,,,
700504,1,1,2024,R,2024-07-15,mlb,false,1,Top,0,0,0,600035,500014,450004,L,R,FF,88.2,0.6,1.55,3.36,1.56,called_strike,00000072-0000-4000-8000-000000000072,0.11,false,,,,,,,,
700511,2,2,2024,R,2024-07-16,mlb,false,2,Bot,1,1,1,600036,500015,450005,R,R,SL,88.3,0.7,1.6,3.39,1.58,ball,00000073-0000-4000-8000-000000000073,0.12,false,,,,,,,,
700518,3,3,2024,R,2024-07-17,mlb,false,3,Top,2,2,2,600000,500016,450006,R,R,CH,88.4,0.8,1.65,3.42,1.6,blocked_ball,00000074-0000-4000-8000-000000000074,0.13,false,,,,,,,,
700525,4,4,2024,S,2024-07-18,mlb,false,4,Bot,3,0,0,600001,500017,450007,L,L,CU,88.5,0.9,1.7,3.45,1.52,foul,00000075-0000-4000-8000-000000000075,0.14,false,,,,,,,,
700532,5,5,2024,R,2024-07-19,mlb,false,5,Top,0,1,1,600002,500018,450008,R,R,SI,88.6,-0.9,1.75,3.48,1.54,hit_into_play,00000076-0000-4000-8000-000000000076,0.15,false,,,,,,,,
700539,6,6,2024,R,2024-07-09,mlb,false,6,Bot,1,2,2,600003,500019,450009,R,R,FC,88.7,-0.8,1.8,3.3,1.56,swinging_strike,00000077-0000-4000-8000-000000000077,0.16,false,,,,,,,,
700546,7,1,2024,R,2024-07-10,mlb,false,7,Top,2,0,0,600004,500020,450010,L,R,FF,88.8,-0.7,1.85,3.33,1.58,called_strike,00000078-0000-4000-8000-000000000078,0.17,false,,,,,,,,
700553,8,2,2024,R,2024-07-11,mlb,false,8,Bot,3,1,1,600005,500021,450011,R,R,SL,88.9,-0.6,1.9,3.36,1.6,ball,00000079-0000-4000-8000-000000000079,0.18,false,,,,,,,,
700560,9,3,2024,R,2024-07-12,mlb,false,9,Top,0,2,2,600006,500022,450012,R,L,CH,89.0,-0.5,1.95,3.39,1.52,blocked_ball,00000080-0000-4000-8000-000000000080,0.19,false,,,,,,,,
700567,1,4,2024,R,2024-07-13,mlb,false,1,Bot,1,0,0,600007,500023,450013,L,R,CU,89.1,-0.4,2.0,3.42,1.54,foul,00000081-0000-4000-8000-000000000081,0.2,false,,,,,,,,
700574,2,5,2024,R,2024-07-14,mlb,false,2,Top,2,1,1,600008,500024,450014,R,R,SI,89.2,-0.3,2.05,3.45,1.56,hit_into_play,00000082-0000-4000-8000-000000000082,-0.2,false,,,,,,,,
700581,3,6,2024,R,2024-07-15,mlb,false,3,Bot,3,2,2,600009,500025,450015,R,R,FC,89.3,-0.2,2.1,3.48,1.58,swinging_strike,00000083-0000-4000-8000-000000000083,-0.19,false,,,,,,,,
700588,4,1,2024,R,2024-07-16,mlb,false,4,Top,0,0,0,600010,500026,450016,L,R,FF,89.4,-0.1,2.15,3.3,1.6,called_strike,00000084-0000-4000-8000-000000000084,-0.18,false,,,,,,,,
700595,5,2,2024,R,2024-07-17,mlb,false,5,Bot,1,1,1,600011,500027,450000,R,L,SL,89.5,0.0,2.2,3.33,1.52,ball,00000085-0000-4000-8000-000000000085,-0.17,false,,,,,,,,
700602,6,3,2024,R,2024-07-18,mlb,false,6,Top,2,2,2,600012,500028,450001,R,R,CH,89.6,0.1,2.25,3.36,1.54,blocked_ball,00000086-0000-4000-8000-000000000086,-0.16,false,,,,,,,,
700609,7,4,2024,R,2024-07-19,mlb,false,7,Bot,3,0,0,600013,500000,450002,L,R,CU,89.7,0.2,2.3,3.39,1.56,foul,00000087-0000-4000-8000-000000000087,-0.15,false,,,,,,,,
700616,8,5,2024,R,2024-07-09,mlb,false,8,Top,0,1,1,600014,500001,450003,R,R,SI,89.8,0.3,2.35,3.42,1.58,hit_into_play,00000088-0000-4000-8000-000000000088,-0.14,false,,,,,,,,
700623,9,6,2024,R,2024-07-10,mlb,false,9,Bot,1,2,2,600015,500002,450004,R,R,FC,89.9,0.4,2.4,3.45,1.6,swinging_strike,00000089-0000-4000-8000-000000000089,-0.13,false,,,,,,,,
700630,1,1,2024,R,2024-07-11,mlb,false,1,Top,2,0,0,600016,500003,450005,L,L,FF,90.0,0.5,2.45,3.48,1.52,called_strike,00000090-0000-4000-8000-000000000090,-0.12,false,,,,,,,,
700637,2,2,2024,R,2024-07-12,mlb,false,2,Bot,3,1,1,600017,500004,450006,R,R,SL,90.1,0.6,2.5,3.3,1.54,ball,00000091-0000-4000-8000-000000000091,-0.11,false,,,,,,,,
700644,3,3,2024,R,2024-07-13,mlb,false,3,Top,0,2,2,600018,500005,450007,R,R,CH,90.2,0.7,1.4,3.33,1.56,blocked_ball,00000092-0000-4000-8000-000000000092,-0.1,false,,,,,,,,
700651,4,4,2024,D,2024-07-14,mlb,false,4,Bot,1,0,0,600019,500006,450008,L,R,CU,90.3,0.8,1.45,3.36,1.58,foul,00000093-0000-4000-8000-000000000093,-0.09,false,,,,,,,,
700658,5,5,2024,R,2024-07-15,mlb,false,5,Top,2,1,1,600020,500007,450009,R,R,SI,90.4,0.9,1.5,3.39,1.6,hit_into_play,00000094-0000-4000-8000-000000000094,-0.08,false,,,,,,,,
700665,6,6,2024,R,2024-07-16,mlb,false,6,Bot,3,2,2,600021,500008,450010,R,L,FC,90.5,-0.9,1.55,3.42,1.52,swinging_strike,00000095-0000-4000-8000-000000000095,-0.07,false,,,,,,,,
700672,7,1,2025,R,2025-08-13,mlb,false,7,Top,0,0,0,600022,500009,450011,L,R,FF,90.6,-0.8,1.6,3.45,1.54,called_strike,00000096-0000-4000-8000-000000000096,-0.06,false,,,,,,,,
700679,8,2,2025,R,2025-08-14,mlb,false,8,Bot,1,1,1,600023,500010,450012,R,R,SL,90.7,-0.7,1.65,3.48,1.56,ball,00000097-0000-4000-8000-000000000097,-0.05,false,,,,,,,,
700686,9,3,2025,R,2025-08-15,mlb,false,9,Top,2,2,2,600024,500011,450013,R,R,CH,90.8,-0.6,1.7,3.3,1.58,blocked_ball,00000098-0000-4000-8000-000000000098,-0.04,false,,,,,,,,
700693,1,4,2025,R,2025-08-05,mlb,false,1,Bot,3,0,0,600025,500012,450014,L,R,CU,90.9,-0.5,1.75,3.33,1.6,foul,00000099-0000-4000-8000-000000000099,-0.03,false,,,,,,,,
700700,2,5,2025,S,2025-08-06,mlb,false,2,Top,0,1,1,600026,500013,450015,R,L,SI,91.0,-0.4,1.8,3.36,1.52,hit_into_play,00000100-0000-4000-8000-000000000100,-0.02,false,,,,,,,,
700707,3,6,2025,R,2025-08-07,mlb,false,3,Bot,1,2,2,600027,500014,450016,R,R,FC,91.1,-0.3,1.85,3.39,1.54,swinging_strike,00000101-0000-4000-8000-000000000101,-0.01,false,,,,,,,,
700714,4,1,2025,R,2025-08-08,mlb,false,4,Top,2,0,0,600028,500015,450000,L,R,FF,91.2,-0.2,1.9,3.42,1.56,called_strike,00000102-0000-4000-8000-000000000102,0.0,false,,,,,,,,
700721,5,2,2025,R,2025-08-09,mlb,false,5,Bot,3,1,1,600029,500016,450001,R,R,SL,91.3,-0.1,1.95,3.45,1.58,ball,00000103-0000-4000-8000-000000000103,0.01,false,,,,,,,,
700728,6,3,2025,R,2025-08-10,mlb,false,6,Top,0,2,2,600030,500017,450002,R,R,CH,91.4,0.0,2.0,3.48,1.6,blocked_ball,00000104-0000-4000-8000-000000000104,0.02,false,,,,,,,,
700735,7,4,2025,R,2025-08-11,mlb,false,7,Bot,1,0,0,600031,500018,450003,L,L,CU,91.5,0.1,2.05,3.3,1.52,foul,00000105-0000-4000-8000-000000000105,0.03,false,,,,,,,,
700742,8,5,2025,R,2025-08-12,mlb,false,8,Top,2,1,1,600032,500019,450004,R,R,SI,91.6,0.2,2.1,3.33,1.54,hit_into_play,00000106-0000-4000-8000-000000000106,0.04,false,,,,,,,,
700749,9,6,2025,R,2025-08-13,mlb,false,9,Bot,3,2,2,600033,500020,450005,R,R,FC,91.7,0.3,2.15,3.36,1.56,swinging_strike,00000107-0000-4000-8000-000000000107,0.05,false,,,,,,,,
700756,1,1,2025,R,2025-08-14,mlb,false,1,Top,0,0,0,600034,500021,450006,L,R,FF,91.8,0.4,2.2,3.39,1.58,called_strike,00000108-0000-4000-8000-000000000108,0.06,false,,,,,,,,
700763,2,2,2025,R,2025-08-15,mlb,false,2,Bot,1,1,1,600035,500022,450007,R,R,SL,91.9,0.5,2.25,3.42,1.6,ball,00000109-0000-4000-8000-000000000109,0.07,false,,,,,,,,
700770,3,3,2025,R,2025-08-05,mlb,false,3,Top,2,2,2,600036,500023,450008,R,L,CH,92.0,0.6,2.3,3.45,1.52,blocked_ball,00000110-0000-4000-8000-000000000110,0.08,false,,,,,,,,
700777,4,4,2025,R,2025-08-06,mlb,false,4,Bot,3,0,0,600000,500024,450009,L,R,CU,92.1,0.7,2.35,3.48,1.54,foul,00000111-0000-4000-8000-000000000111,0.09,false,,,,,,,,
700784,5,5,2025,R,2025-08-07,mlb,false,5,Top,0,1,1,600001,500025,450010,R,R,SI,92.2,0.8,2.4,3.3,1.56,hit_into_play,00000112-0000-4000-8000-000000000112,0.1,false,,,,,,,,
700791,6,6,2025,R,2025-08-08,mlb,false,6,Bot,1,2,2,600002,500026,450011,R,R,FC,92.3,0.9,2.45,3.33,1.58,swinging_strike,00000113-0000-4000-8000-000000000113,0.11,false,,,,,,,,
700798,7,1,2025,R,2025-08-09,mlb,false,7,Top,2,0,0,600003,500027,450012,L,R,FF,92.4,-0.9,2.5,3.36,1.6,called_strike,00000114-0000-4000-8000-000000000114,0.12,false,,,,,,,,
700805,8,2,2025,R,2025-08-10,mlb,false,8,Bot,3,1,1,600004,500028,450013,R,L,SL,92.5,-0.8,1.4,3.39,1.52,ball,00000115-0000-4000-8000-000000000115,0.13,false,,,,,,,,
700812,9,3,2025,R,2025-08-11,mlb,false,9,Top,0,2,2,600005,500000,450014,R,R,CH,92.6,-0.7,1.45,3.42,1.54,blocked_ball,00000116-0000-4000-8000-000000000116,0.14,false,,,,,,,,
700819,1,4,2025,R,2025-08-12,mlb,false,1,Bot,1,0,0,600006,500001,450015,L,R,CU,92.7,-0.6,1.5,3.45,1.56,foul,00000117-0000-4000-8000-000000000117,0.15,false,,,,,,,,
700826,2,5,2025,R,2025-08-13,mlb,false,2,Top,2,1,1,600007,500002,450016,R,R,SI,92.8,-0.5,1.55,3.48,1.58,hit_into_play,00000118-0000-4000-8000-000000000118,0.16,false,,,,,,,,
700833,3,6,2025,R,2025-08-14,mlb,false,3,Bot,3,2,2,600008,500003,450000,R,R,FC,92.9,-0.4,1.6,3.3,1.6,swinging_strike,00000119-0000-4000-8000-000000000119,0.17,false,,,,,,,,
700840,4,1,2025,R,2025-08-15,mlb,false,4,Top,0,0,0,600009,500004,450001,L,L,FF,93.0,-0.3,1.65,3.33,1.52,called_strike,00000120-0000-4000-8000-000000000120,0.18,false,,,,,,,,
700847,5,2,2025,R,2025-08-05,mlb,false,5,Bot,1,1,1,600010,500005,450002,R,R,SL,93.1,-0.2,1.7,3.36,1.54,ball,00000121-0000-4000-8000-000000000121,0.19,false,,,,,,,,
700854,6,3,2025,R,2025-08-06,mlb,false,6,Top,2,2,2,600011,500006,450003,R,R,CH,93.2,-0.1,1.75,3.39,1.56,blocked_ball,00000122-0000-4000-8000-000000000122,0.2,false,,,,,,,,
